"","x"
"210","cg22274522"
"211","ch.3.3021133F"
"212","cg10531372"
"213","cg26379671"
"214","cg05201317"
"215","cg03701341"
"216","cg25985347"
"217","cg27462867"
"218","cg24845246"
"219","cg27565246"
"220","cg18392494"
"221","ch.22.243204R"
"222","cg12081027"
"223","cg26262746"
"224","cg25263898"
"225","cg25914522"
"226","cg18393722"
"227","cg10379653"
"228","cg19564450"
"229","cg00260647"
"230","cg17197051"
"231","cg04937398"
"232","cg02848329"
"233","cg04104228"
"234","cg12966981"
"235","cg23499616"
"236","cg05420166"
"237","cg19804182"
"238","cg02671421"
"239","cg24695950"
"240","cg08229688"
"241","cg05956679"
"242","cg08812593"
"243","cg21648941"
"244","cg23205538"
"245","cg19401643"
"246","cg04985020"
"247","cg21265404"
"248","cg06728272"
"249","cg09133953"
"250","cg18367433"
"251","ch.18.1186861R"
"252","cg11615152"
"253","cg01328949"
"254","cg05144642"
"255","cg06604447"
"256","cg07750638"
"257","cg27316766"
"258","cg00458927"
"259","cg21145551"
"260","cg20250473"
"261","cg13597417"
"262","cg24323340"
"263","cg17852744"
"264","cg03234702"
"265","cg01919250"
"266","cg27637597"
"267","cg06938264"
"268","cg16708162"
"269","cg13711966"
"270","cg17577701"
"271","cg00960790"
"272","cg00914022"
"273","cg03041700"
"274","cg02228420"
"275","cg22771332"
"276","cg01546046"
"277","cg21673175"
"278","cg02756231"
"279","cg11344352"
"280","cg00428214"
"281","cg01165560"
"282","cg23878917"
"283","cg06555020"
"284","cg13710375"
"285","cg26793320"
"286","cg05784594"
"287","cg13045266"
"288","cg08959585"
"289","cg25357512"
"290","cg02459151"
"291","cg24954453"
"292","cg14689365"
"293","cg05470939"
"294","cg08267258"
"295","cg20348895"
"296","cg10421990"
"297","cg25682903"
"298","cg20599405"
"299","cg07599579"
"300","cg27046528"
"301","cg06060135"
"302","ch.12.28612808R"
"303","cg03411133"
"304","cg07998499"
"305","cg00774100"
"306","cg04364973"
"307","cg01751337"
"308","cg08034389"
"309","ch.3.3164199R"
"310","cg02256546"
"311","ch.10.31962039R"
"312","cg15012692"
"313","cg14827527"
"314","cg17778722"
"315","ch.8.68960677R"
"316","cg03326792"
"317","cg10508780"
"318","cg09896345"
"319","cg23039201"
"320","cg26015019"
"321","cg19261864"
"322","cg08194752"
"323","cg27576136"
"324","cg23001905"
"325","cg02490626"
"326","cg04250180"
"327","cg25341099"
"328","cg15381433"
"329","cg10911328"
"330","cg06339974"
"331","cg00961446"
"332","cg17373644"
"333","cg19505760"
"334","cg05023043"
"335","cg16424920"
"336","cg15471661"
"337","cg15886017"
"338","cg14727192"
"339","cg11788447"
"340","cg25151104"
"341","cg10551809"
"342","cg16708835"
"343","ch.8.1077192R"
"344","cg13844662"
"345","cg06832605"
"346","cg05831747"
"347","cg20437718"
"348","cg01442959"
"349","cg26836175"
"350","ch.15.1538350R"
"351","cg22515696"
"352","cg18918083"
"353","cg08106635"
"354","cg05088221"
"355","cg20211713"
"356","cg22545899"
"357","cg04026937"
"358","cg18014543"
"359","cg23250039"
"360","cg22578698"
"361","cg07509872"
"362","cg13538551"
"363","cg05211996"
"364","cg06808227"
"365","cg16925999"
"366","cg21975337"
"367","cg14238722"
"368","cg16111924"
"369","cg17480368"
"370","cg04984052"
"371","cg25801746"
"372","cg00220413"
"373","cg07953082"
"374","cg09750643"
"375","cg14381371"
"376","cg11953245"
"377","cg13177786"
"378","cg09925682"
"379","cg11295469"
"380","cg04377131"
"381","cg21134501"
"382","ch.4.2115405R"
"383","cg26766277"
"384","cg24895779"
"385","cg26544932"
"386","cg19697232"
"387","cg08663552"
"388","cg22563036"
"389","cg11468348"
"390","cg11669400"
"391","cg11725718"
"392","cg15538177"
"393","cg00305878"
"394","cg08071329"
"395","cg26608798"
"396","cg06494497"
"397","cg24537993"
"398","cg01378677"
"399","cg13195185"
"400","cg12107367"
"401","cg02245533"
"402","cg07038822"
"403","cg16335566"
"404","cg18349306"
"405","cg00837548"
"406","cg09409168"
"407","cg17530841"
"408","cg07516965"
"409","ch.X.557489R"
"410","cg05684371"
"411","cg23772042"
"412","cg05737718"
"413","cg07669260"
"414","cg07803710"
"415","cg22108265"
"416","cg16790676"
"417","cg02730299"
"418","cg00769810"
"419","cg22547286"
"420","cg11303749"
"421","cg05357338"
"422","cg04206351"
"423","cg11081221"
"424","cg02372523"
"425","cg09211265"
"426","cg18543164"
"427","cg17585421"
"428","cg04121866"
"429","cg03692412"
"430","cg20430870"
"431","cg26149184"
"432","cg02593082"
"433","cg12720152"
"434","cg22753607"
"435","cg23125449"
"436","cg15064753"
"437","cg00855458"
"438","cg07600669"
"439","cg18517055"
"440","cg27124406"
"441","cg17089729"
"442","cg08403691"
"443","cg19634693"
"444","cg04689451"
"445","cg05198670"
"446","cg02990742"
"447","cg02114696"
"448","cg05294259"
"449","cg01396275"
"450","cg09975561"
"451","cg11675359"
"452","cg14798656"
"453","cg27371741"
"454","cg25936223"
"455","cg08594032"
"456","cg17380160"
"457","cg24436365"
"458","cg08335892"
"459","cg18892212"
"460","cg19779076"
"461","cg09507585"
"462","cg22010909"
"463","cg24297421"
"464","cg00562898"
"465","cg12382229"
"466","cg26667585"
"467","cg03822746"
"468","cg03062544"
"469","cg04629951"
"470","cg03062549"
"471","cg23140076"
"472","cg19825302"
"473","cg26654040"
"474","cg15897600"
"475","cg26840162"
"476","cg26626089"
"477","cg05559398"
"478","cg23951861"
"479","cg25963309"
"480","cg17794241"
"481","cg24256810"
"482","cg05840127"
"483","cg18305365"
"484","cg10767554"
"485","cg07379344"
"486","cg17482273"
"487","cg06574881"
"488","cg11374656"
"489","cg05097306"
"490","cg06802374"
"491","cg10985228"
"492","cg27012994"
"493","cg12830153"
"494","cg13397314"
"495","cg05255537"
"496","cg24210426"
"497","cg20102742"
"498","cg03560936"
"499","cg08202827"
"500","cg00572387"
"501","cg13386884"
"502","cg21011350"
"503","cg15102365"
"504","cg15176874"
"505","cg15152789"
"506","cg00563768"
"507","cg09621695"
"508","cg10043709"
"509","cg19453665"
"510","cg11474093"
"511","cg08700667"
"512","cg04589118"
"513","cg24760581"
"514","cg02774073"
"515","cg25463963"
"516","cg25674863"
"517","cg23829584"
"518","ch.16.612655R"
"519","cg19755382"
"520","cg00990884"
"521","cg15693625"
"522","cg03424246"
"523","cg04509365"
"524","ch.10.2372731R"
"525","cg18425002"
"526","cg04926244"
"527","cg25920743"
"528","cg05367916"
"529","cg16812480"
"530","cg08450091"
"531","cg02367992"
"532","cg06373526"
"533","cg05522145"
"534","cg08780220"
"535","cg24136288"
"536","cg09429847"
"537","cg24211775"
"538","cg26006254"
"539","cg22773314"
"540","cg24576050"
"541","cg01029934"
"542","cg25344142"
"543","cg24211779"
"544","cg03953305"
"545","cg15847936"
"546","cg11313429"
"547","cg25409944"
"548","cg14928054"
"549","cg04346530"
"550","cg09605111"
"551","cg00072839"
"552","cg02254774"
"553","cg05597270"
"554","cg14698917"
"555","cg09451434"
"556","cg00827196"
"557","cg01852887"
"558","cg22505778"
"559","cg18318941"
"560","cg14639859"
"561","cg16817502"
"562","cg24634009"
"563","cg17713613"
"564","cg13688186"
"565","cg14277764"
"566","cg25958911"
"567","cg20117477"
"568","cg16401850"
"569","cg21144587"
"570","cg16308101"
"571","cg07872608"
"572","cg21066415"
"573","cg19725935"
"574","cg21704267"
"575","cg02415629"
"576","cg10483817"
"577","cg26888356"
"578","cg14080093"
"579","cg06212336"
"580","cg14153650"
"581","cg26558111"
"582","cg23546356"
"583","cg25583503"
"584","cg26188131"
"585","cg00437239"
"586","cg18487343"
"587","cg03238709"
"588","cg01224510"
"589","cg16591272"
"590","cg26887757"
"591","cg00974523"
"592","cg14783943"
"593","cg25097892"
"594","cg27143872"
"595","cg21448781"
"596","cg09749656"
"597","cg03898962"
"598","cg05729804"
"599","cg25024195"
"600","cg13785951"
"601","cg19177307"
"602","cg12802537"
"603","cg03706273"
"604","cg16096085"
"605","cg21245287"
"606","cg01958008"
"607","cg03020635"
"608","cg24630782"
"609","cg07473976"
"610","cg04718747"
"611","cg11231715"
"612","cg14600384"
"613","cg25567021"
"614","cg25054736"
"615","cg09608073"
"616","cg21769702"
"617","cg01296755"
"618","cg05528280"
"619","cg15550654"
"620","cg00981552"
"621","cg20189467"
"622","ch.11.535384R"
"623","cg25433157"
"624","cg13573611"
"625","cg09772816"
"626","cg00783363"
"627","cg01425807"
"628","cg05795861"
"629","cg13971096"
"630","cg27464378"
"631","cg21010973"
"632","cg21690675"
"633","cg07498013"
"634","cg26288719"
"635","cg01008117"
"636","cg10699264"
"637","cg14599871"
"638","cg09293286"
"639","cg11289591"
"640","cg24798153"
"641","cg02747748"
"642","cg25436127"
"643","cg01692649"
"644","cg03704653"
"645","cg15012625"
"646","cg01373319"
"647","cg09186748"
"648","cg24934804"
"649","ch.1.179457656R"
"650","cg15135264"
"651","cg05484222"
"652","cg23195619"
"653","cg18774511"
"654","cg27518014"
"655","cg20754430"
"656","cg01854514"
"657","cg16642717"
"658","cg11154970"
"659","cg08356097"
"660","cg26933068"
"661","cg23928360"
"662","cg25299580"
"663","cg06455686"
"664","cg01798149"
"665","cg14608722"
"666","cg15171063"
"667","cg09997119"
"668","cg01659483"
"669","cg19541697"
"670","cg04070211"
"671","cg03498881"
"672","cg02827729"
"673","cg09060908"
"674","cg11195909"
"675","cg09936561"
"676","cg27248492"
"677","cg23111837"
"678","cg03505448"
"679","cg13455326"
"680","cg26245086"
"681","cg15608151"
"682","cg14509196"
"683","cg18514358"
"684","cg17176978"
"685","cg07439241"
"686","cg13417485"
"687","cg03782437"
"688","cg23156245"
"689","ch.15.84103R"
"690","cg06182811"
"691","cg10211193"
"692","cg18877558"
"693","cg26074575"
"694","cg06308323"
"695","cg25819406"
"696","cg20650035"
"697","cg01324349"
"698","cg07943766"
"699","cg18701218"
"700","cg10146692"
"701","cg05286187"
"702","cg00351054"
"703","cg15386964"
"704","cg26016985"
"705","cg06605739"
"706","cg17173227"
"707","cg25340121"
"708","cg14921275"
"709","cg01364483"
"710","cg17475505"
"711","cg10212184"
"712","cg08388220"
"713","cg02173360"
"714","cg27507725"
"715","cg13637899"
"716","cg01972631"
"717","cg02975069"
"718","cg05640992"
"719","cg18411232"
"720","cg01158257"
"721","cg17669412"
"722","cg00925616"
"723","cg04942564"
"724","cg01282078"
"725","cg11803278"
"726","cg25872885"
"727","cg04106436"
"728","cg25945788"
"729","cg24749479"
"730","cg04523929"
"731","cg26811653"
"732","cg09407232"
"733","cg24636510"
"734","cg17311649"
"735","cg02095553"
"736","cg06677120"
"737","cg15644837"
"738","cg07092593"
"739","cg05068146"
"740","cg03885144"
"741","cg04006206"
"742","cg06481749"
"743","cg26567423"
"744","cg27663936"
"745","cg04328842"
"746","cg00621559"
"747","cg08458378"
"748","cg21836562"
"749","cg22456785"
"750","cg05261549"
"751","cg19407545"
"752","cg25943406"
"753","cg18495341"
"754","cg21445553"
"755","cg02625749"
"756","cg16105754"
"757","ch.10.54387284R"
"758","cg18472699"
"759","cg15921436"
"760","cg21458030"
"761","cg00808053"
"762","cg05567911"
"763","cg07608032"
"764","cg00982805"
"765","ch.1.211138639F"
"766","cg26726204"
"767","cg22956237"
"768","cg15825928"
"769","cg03898229"
"770","cg16505808"
"771","cg24143305"
"772","cg18637291"
"773","cg14999726"
"774","cg24268663"
"775","cg00378142"
"776","cg19677830"
"777","cg19972287"
"778","cg16796381"
"779","cg06712846"
"780","cg08140542"
"781","cg15346242"
"782","cg20717077"
"783","cg14403583"
"784","cg25790043"
"785","cg02855833"
"786","cg05428299"
"787","cg04472009"
"788","cg00177631"
"789","cg10892251"
"790","cg15087369"
"791","cg21041751"
"792","cg04592208"
"793","cg04197935"
"794","ch.16.1235821R"
"795","cg05083325"
"796","cg20837171"
"797","cg16147880"
"798","cg18265426"
"799","cg24836822"
"800","cg24385839"
"801","cg20598650"
"802","cg07136759"
"803","cg11553654"
"804","cg08972582"
"805","cg09551645"
"806","cg04675747"
"807","cg09873215"
"808","cg13100182"
"809","cg19011226"
"810","cg26055718"
"811","cg27276180"
"812","cg12019814"
"813","cg22136124"
"814","cg24076669"
"815","cg24799729"
"816","cg22300727"
"817","cg23765027"
"818","ch.2.4639917R"
"819","cg17052441"
"820","cg15361237"
"821","cg08785871"
"822","cg16311883"
"823","cg12033031"
"824","cg19186089"
"825","cg13285600"
"826","cg00789394"
"827","cg01895141"
"828","cg27102469"
"829","cg03439898"
"830","cg20444858"
"831","ch.7.3333777R"
"832","ch.17.67353124R"
"833","cg26751972"
"834","cg20475304"
"835","cg25181710"
"836","cg09807481"
"837","cg02423267"
"838","cg09274963"
"839","cg10886493"
"840","cg13672348"
"841","cg04293325"
"842","cg03644629"
"843","cg07922204"
"844","cg26616932"
"845","cg00920477"
"846","cg00349495"
"847","cg09523380"
"848","cg07694711"
"849","cg05216268"
"850","cg16423285"
"851","cg21587477"
"852","cg21193813"
"853","cg20729130"
"854","cg09440268"
"855","cg08347021"
"856","cg04836794"
"857","cg05587870"
"858","cg12935786"
"859","cg03150409"
"860","cg03142364"
"861","cg05923736"
"862","cg02948812"
"863","cg17131580"
"864","cg15907372"
"865","cg26193268"
"866","cg27086308"
"867","cg04260293"
"868","cg04193083"
"869","cg18710738"
"870","cg23455023"
"871","cg14052112"
"872","cg02056828"
"873","cg03997970"
"874","cg15192120"
"875","cg20808578"
"876","cg10840458"
"877","cg23283474"
"878","cg06875598"
"879","cg23826579"
"880","cg25060243"
"881","cg13231117"
"882","cg24945223"
"883","cg15739904"
"884","cg13815971"
"885","cg10514593"
"886","cg01408682"
"887","cg24217980"
"888","cg17398677"
"889","cg13840590"
"890","cg02317375"
"891","cg24072224"
"892","cg10160125"
"893","cg20803293"
"894","cg15674422"
"895","cg13469777"
"896","cg25290175"
"897","cg10125193"
"898","cg08941716"
"899","cg10007405"
"900","cg04139514"
"901","cg17278472"
"902","cg00734311"
"903","cg20250988"
"904","cg02347105"
"905","cg20985980"
"906","cg08490589"
"907","cg06488671"
"908","cg22229974"
"909","cg13271939"
"910","cg06654337"
"911","cg25706358"
"912","cg26191661"
"913","cg07083366"
"914","cg24787692"
"915","cg03264414"
"916","cg03221539"
"917","cg12389786"
"918","cg06550991"
"919","cg03214931"
"920","cg22139983"
"921","cg04473235"
"922","cg19629543"
"923","cg26027780"
"924","cg18159819"
"925","cg13174427"
"926","cg10309425"
"927","cg03230296"
"928","cg08483173"
"929","cg23933164"
"930","cg00736819"
"931","cg02505596"
"932","cg21483539"
"933","cg19611968"
"934","cg09177473"
"935","cg05171921"
"936","cg10120818"
"937","cg11768071"
"938","ch.2.20642108R"
"939","cg04344486"
"940","cg20966148"
"941","cg21559117"
"942","cg26429042"
"943","cg10211626"
"944","cg21291880"
"945","cg20442722"
"946","cg07251568"
"947","cg08026791"
"948","cg20541376"
"949","cg20364988"
"950","cg24740325"
"951","cg20794546"
"952","cg19732625"
"953","cg04568054"
"954","cg19106478"
"955","cg03653845"
"956","cg25323888"
"957","cg08787802"
"958","ch.19.1899367R"
"959","cg06018240"
"960","cg08882650"
"961","cg07604202"
"962","cg24604641"
"963","cg19497424"
"964","cg17382950"
"965","cg25155053"
"966","cg23841280"
"967","cg25176823"
"968","cg17178504"
"969","cg08859247"
"970","cg09003758"
"971","cg09456389"
"972","cg13382985"
"973","cg22444983"
"974","cg25505069"
"975","cg08945711"
"976","cg15556397"
"977","cg08945718"
"978","ch.3.1042801R"
"979","cg23304298"
"980","cg12474590"
"981","cg01481902"
"982","cg14968719"
"983","cg20899329"
"984","cg00727386"
"985","cg05666458"
"986","cg07735952"
"987","cg23381770"
"988","cg01104334"
"989","cg12070036"
"990","cg23717764"
"991","cg00126887"
"992","cg13521869"
"993","cg17770461"
"994","cg02944840"
"995","cg18913464"
"996","ch.2.202877934R"
"997","cg20723941"
"998","cg02024579"
"999","cg26044128"
"1000","cg25039902"
"1001","cg16471481"
"1002","cg03355239"
"1003","cg27573735"
"1004","cg06394103"
"1005","cg09890269"
"1006","cg19102404"
"1007","cg01010221"
"1008","cg24031277"
"1009","cg17068675"
"1010","cg12243976"
"1011","cg08321330"
"1012","cg04671386"
"1013","cg27119428"
"1014","cg17940234"
"1015","cg21623175"
"1016","ch.12.104817561R"
"1017","cg16383910"
"1018","cg09842735"
"1019","cg09636024"
"1020","cg04609439"
"1021","cg13645242"
"1022","cg19771031"
"1023","cg20706311"
"1024","cg05907136"
"1025","cg02757186"
"1026","cg21896454"
"1027","cg02147592"
"1028","cg14850342"
"1029","cg05625839"
"1030","cg22436928"
"1031","cg00283524"
"1032","cg08180553"
"1033","cg08108965"
"1034","cg04146553"
"1035","cg06659867"
"1036","cg27542314"
"1037","cg24955546"
"1038","cg21546286"
"1039","cg26481402"
"1040","cg04896011"
"1041","cg20914900"
"1042","cg08982017"
"1043","cg19858371"
"1044","cg03288847"
"1045","cg19943330"
"1046","cg09169335"
"1047","cg23035238"
"1048","cg08028425"
"1049","cg07842130"
"1050","cg21026663"
"1051","cg21587709"
"1052","cg10278931"
"1053","cg26296762"
"1054","cg07063348"
"1055","cg07834423"
"1056","cg05580809"
"1057","ch.16.74794652R"
"1058","cg02222235"
"1059","cg08073009"
"1060","cg22918356"
"1061","cg22873177"
"1062","cg09280462"
"1063","cg09410837"
"1064","cg20315954"
"1065","cg03840511"
"1066","cg15693780"
"1067","cg04746406"
"1068","cg16521309"
"1069","cg26261559"
"1070","ch.3.1042115R"
"1071","cg16522960"
"1072","cg13760683"
"1073","cg16441248"
"1074","cg24159934"
"1075","cg20867157"
"1076","cg11436767"
"1077","cg22654517"
"1078","cg08325307"
"1079","cg23655210"
"1080","cg24030609"
"1081","cg19092603"
"1082","cg17982346"
"1083","cg20677261"
"1084","cg24355182"
"1085","cg15335860"
"1086","cg01745522"
"1087","cg15556689"
"1088","cg16438655"
"1089","cg26300802"
"1090","cg08449389"
"1091","cg21118881"
"1092","cg22369009"
"1093","cg10945881"
"1094","cg00809453"
"1095","cg20113726"
"1096","cg23029185"
"1097","cg16055132"
"1098","cg03045014"
"1099","cg17884327"
"1100","cg05533233"
"1101","cg12464148"
"1102","cg03510352"
"1103","cg24969022"
"1104","cg02221765"
"1105","cg06097213"
"1106","cg04692023"
"1107","cg06657529"
"1108","cg15868426"
"1109","cg21890850"
"1110","cg04391666"
"1111","cg07472584"
"1112","cg16917406"
"1113","ch.2.4251330R"
"1114","cg24009274"
"1115","cg12610078"
"1116","cg00791074"
"1117","cg17226602"
"1118","cg19850024"
"1119","cg13086402"
"1120","cg06233043"
"1121","cg15971335"
"1122","cg23671051"
"1123","cg04167811"
"1124","cg09941542"
"1125","cg23679260"
"1126","cg14017904"
"1127","cg00718470"
"1128","cg00768815"
"1129","cg10535017"
"1130","cg22041640"
"1131","cg16133872"
"1132","cg24630373"
"1133","cg16195004"
"1134","ch.2.1564633R"
"1135","cg00903154"
"1136","cg22592346"
"1137","cg18724565"
"1138","cg24167747"
"1139","cg17874273"
"1140","cg13537471"
"1141","cg23516852"
"1142","cg25609036"
"1143","cg26647219"
"1144","cg04103532"
"1145","cg03526614"
"1146","cg03529641"
"1147","cg14593273"
"1148","cg18040125"
"1149","cg08137638"
"1150","cg09862990"
"1151","cg03757653"
"1152","cg06987369"
"1153","cg17465697"
"1154","cg08422668"
"1155","cg00472445"
"1156","ch.10.5920188R"
"1157","cg00454696"
"1158","cg09232499"
"1159","ch.16.589030R"
"1160","cg21818274"
"1161","cg27137512"
"1162","cg07047407"
"1163","cg12401158"
"1164","cg20310385"
"1165","cg06385000"
"1166","cg00338758"
"1167","cg14712846"
"1168","cg15717598"
"1169","cg13296607"
"1170","cg20831236"
"1171","cg12551330"
"1172","ch.10.901771R"
"1173","cg01165752"
"1174","cg06955091"
"1175","cg19578030"
"1176","cg07449967"
"1177","cg24131116"
"1178","cg23182239"
"1179","cg06893834"
"1180","cg27234230"
"1181","cg04525335"
"1182","cg26504026"
"1183","ch.9.2262725R"
"1184","cg12473570"
"1185","cg18979623"
"1186","cg24855045"
"1187","cg17033185"
"1188","cg07746427"
"1189","cg17166941"
"1190","cg24048209"
"1191","cg17173442"
"1192","cg13035254"
"1193","cg05187508"
"1194","cg24400553"
"1195","cg23691946"
"1196","cg14917610"
"1197","cg15788147"
"1198","cg14766646"
"1199","cg11239335"
"1200","ch.6.1795380F"
"1201","cg19473068"
"1202","cg16210621"
"1203","cg02823300"
"1204","cg10965669"
"1205","cg19111773"
"1206","cg20586091"
"1207","cg19198358"
"1208","cg22083790"
"1209","cg04796181"
"1210","ch.16.364290R"
"1211","cg14547966"
"1212","cg05991857"
"1213","cg15341512"
"1214","cg20301962"
"1215","cg13934722"
"1216","cg01070781"
"1217","cg07028598"
"1218","cg18220103"
"1219","ch.7.1973356R"
"1220","cg14200357"
"1221","cg26187031"
"1222","cg08248014"
"1223","cg18361420"
"1224","cg24527776"
"1225","cg12915947"
"1226","cg26096599"
"1227","cg02489379"
"1228","cg25087049"
"1229","cg27537740"
"1230","cg05925577"
"1231","cg06291494"
"1232","cg11165465"
"1233","cg17548900"
"1234","cg21343859"
"1235","cg24202936"
"1236","cg22656544"
"1237","cg25479535"
"1238","cg08667569"
"1239","cg23698832"
"1240","cg10182404"
"1241","cg00765765"
"1242","cg15922678"
"1243","cg01509427"
"1244","cg04403139"
"1245","cg03880988"
"1246","cg10429096"
"1247","cg20409368"
"1248","cg09943550"
"1249","cg21557451"
"1250","cg09722546"
"1251","cg14911314"
"1252","cg02772935"
"1253","cg02008936"
"1254","cg26076236"
"1255","cg08249467"
"1256","cg09456285"
"1257","cg27169916"
"1258","cg13963221"
"1259","cg01544812"
"1260","cg25465548"
"1261","cg11427377"
"1262","ch.13.75704157F"
"1263","cg23975564"
"1264","cg08106449"
"1265","cg18652076"
"1266","cg00982214"
"1267","cg00346180"
"1268","ch.11.91717525F"
"1269","cg25621735"
"1270","cg20744275"
"1271","cg01950665"
"1272","cg14172283"
"1273","cg20914792"
"1274","cg07518353"
"1275","cg16362574"
"1276","cg26574716"
"1277","cg00041641"
"1278","cg03852551"
"1279","cg25854178"
"1280","cg20621459"
"1281","cg26520399"
"1282","cg07457785"
"1283","cg00586248"
"1284","cg00647917"
"1285","cg21177257"
"1286","cg12504030"
"1287","cg22985451"
"1288","cg26618668"
"1289","cg22021832"
"1290","cg11854217"
"1291","cg18023041"
"1292","cg18081818"
"1293","cg02340121"
"1294","cg00472640"
"1295","cg12910810"
"1296","cg13201362"
"1297","cg16706690"
"1298","cg01511022"
"1299","cg15374582"
"1300","cg11718741"
"1301","cg16134501"
"1302","cg19748509"
"1303","cg23540003"
"1304","cg12689996"
"1305","cg22504933"
"1306","cg10966661"
"1307","cg05273006"
"1308","cg11784437"
"1309","cg12663357"
"1310","cg26653818"
"1311","cg17076397"
"1312","cg19783675"
"1313","cg12314424"
"1314","cg18526140"
"1315","cg18809991"
"1316","ch.7.318201F"
"1317","cg17035490"
"1318","cg05143364"
"1319","cg20095274"
"1320","cg10615662"
"1321","cg23037186"
"1322","cg22349487"
"1323","cg16907049"
"1324","cg07751463"
"1325","cg06350966"
"1326","cg20747565"
"1327","cg10595913"
"1328","cg18923388"
"1329","cg00033584"
"1330","cg15713739"
"1331","cg11460558"
"1332","cg21948071"
"1333","cg13330671"
"1334","cg21414251"
"1335","cg20075156"
"1336","ch.11.942842R"
"1337","cg03801901"
"1338","cg25567232"
"1339","cg26626449"
"1340","cg15964187"
"1341","cg09577320"
"1342","cg01854228"
"1343","cg05409340"
"1344","cg12597422"
"1345","ch.8.9261340R"
"1346","cg03928924"
"1347","cg01206398"
